,Tweets,words,
1,Beyonce Cancels Belgium Concert Due to Exhaustion - Doctor’s orders to take a break further fuels pregnancy... http://t.co/IF8PbPY6VP,beyonce cancels belgium concert due exhaustion doctor’ break fuels pregnancy,Medical
11, Jose pumps his fist as a distraught Ana arrives alone to the hospital. Time to get out of the friendzone!! #50shades,jose pumps fist distraught ana arrives hospital time friendzone #50shades,Medical
14, Do you think you love him? Maybe you love him but me too and he is my doctor. Europeans Rules! =P,love maybe love doctor europeans rules,Medical
15, CLEARED:road maintenance operations:MD 7  westbound Hospital Dr Rossville,clearedroad maintenance operationsmd westbound hospital dr rossville,Medical
17, CLEARED:road maintenance operations:MD 7  westbound Hospital Dr Rossville,clearedroad maintenance operationsmd westbound hospital dr rossville,Medical
19, I love my doctor (:,love doctor,Medical
20," laughing all the way to the hospital 'cause there's nothing surgery can do, when i break your little heart in two",laughing hospital cause theres surgery break little heart,Medical
22, Legislation in Oregon would require parents to meet with a doctor or watch a government-sanctioned video on... http://t.co/xmW3H0IyBe,legislation oregon require parents meet doctor watch governmentsanctioned video,Medical
25," Tired as hell, work then had to sit at hospital with my brother. Extremely tired..",tired hell sit hospital brother extremely tired,Medical
27, Parents make many courageous choices. Here's one many women have endured:  My Medical Choice http://t.co/gtBKVNjvcu,parents courageous choices heres women endured medical choice,Medical
31, I liked a @YouTube video http://t.co/Lqx6MNkT9y Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
32, the doctor who finale better be good or i shall be royally pissed,doctor finale royally pissed,Medical
37, Gloria Hanson Unison Convener &amp; Dino Williams Unison Branch Secretary Guys &amp; St Thomas Hospital. http://t.co/9WL8JOXPFu,gloria hanson unison convener dino williams unison branch secretary guys st thomas hospital,Medical
40, @Cristiano Ah I forgot to mention the positive side of being treated in hospital ..I am somehow cured of the intolerance of milk and gluten,ah forgot mention positive treated hospital somehow cured intolerance milk gluten,Medical
42, So y u stil wna study medicine? @berryrudeboy: u score 38 in utme nd u want 2 study medicine. u're nt evn qualified to 2 b  a native doctor.,stil wna study medicine score utme nd study medicine nt evn qualified native doctor,Medical
43," @Rberry2 yeah, probably. The doctor would be smart.",yeah probably doctor smart,Medical
44, @StarksAnStripes I just got home from the doctor!! i've been there since like 9:15,home doctor,Medical
46, A brave &amp; private life saving decision by Angelina Joile: My Medical Choice http://t.co/d84y5cnd39 #health #women,brave private life saving decision angelina joile medical choice #health #women,Medical
47, @Raquecity im sorry i had to go to the doctor to get my meds :( ill make it up to you,im sorry doctor meds ill,Medical
48, That's Cute Congrats :) RT“@ChrsBrownCurls: Congrats. ???? “@Breezyologist: Just got the good news from my doctor... I'm Pregnant!!!!!!!””,thats cute congrats rtiiidddiiidddchrsbrowncurls congrats news doctor pregnant,Medical
51, I've been waiting in this hospital for 2 hours now.. #tired  #letsgo,waiting hospital hours #tired #letsgo,Medical
57, Doctor appointments ??????,doctor appointments,Medical
58, It must be a hospital thing to have poor cell phone reception. ??,hospital poor cell phone reception,Medical
63, farmers love hospital bills. MT @RepChrisCollins:The House should vote to repeal ObamaCare because___. Tweet us your answers.,farmers love hospital bills mt house vote repeal obamacare answers,Medical
65, My Medical Choice http://t.co/yEy6g3nJue #BreastCancer #Mastectomy #AngelinaJolie,medical choice #breastcancer #mastectomy #angelinajolie,Medical
68, Is medical #advertising ethical? #cosmeticmedicine http://t.co/1FuBk9tpju,medical #advertising ethical #cosmeticmedicine,Medical
